,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14
0,vc,7.852348,15.88454,26.09697,26.36889,26.41257,26.45618,26.52182,26.57369,26.5415,26.49785,26.4076,26.29294,22.92283,7.923073
1,vo,2.849642,5.764549,9.470675,9.569355,9.585205,9.601033,9.624854,9.643678,9.631997,9.616154,9.583402,9.541791,8.318769,2.875309
2,v2,19.97663,40.40797,66.38998,67.08213,67.19323,67.30417,67.47113,67.60307,67.52119,67.41015,67.18059,66.88891,58.31125,20.15655
3,v3,19.97663,40.40797,66.38998,67.08213,67.19323,67.30417,67.47113,67.60307,67.52119,67.41015,67.18059,66.88891,58.31125,20.15655
4,v5,3.612124,7.386677,12.97691,13.16587,13.18748,13.20898,13.24132,13.26687,13.25102,13.22951,13.18503,13.1264,10.9026,3.645006
5,v6,3.612124,7.386677,12.97691,13.16587,13.18748,13.20898,13.24132,13.26687,13.25102,13.22951,13.18503,13.1264,10.9026,3.645006
6,v7,3.56733,7.216361,11.85588,11.97942,11.99926,12.01907,12.04889,12.07246,12.05783,12.038,11.997,11.94491,10.41387,3.59946
7,v8,3.56733,7.216361,11.85588,11.97942,11.99926,12.01907,12.04889,12.07246,12.05783,12.038,11.997,11.94491,10.41387,3.599461
8,v9,3.56733,7.216361,11.85588,11.97942,11.99926,12.01907,12.04889,12.07246,12.05783,12.038,11.997,11.94491,10.41387,3.599461
9,v10,3.56733,7.216361,11.85588,11.97942,11.99926,12.01907,12.04889,12.07246,12.05783,12.038,11.997,11.94491,10.41387,3.599461
10,v13,10.70199,21.64908,35.56765,35.93825,35.99777,36.05721,36.14668,36.21737,36.1735,36.114,35.991,35.83473,31.2416,10.79838
11,v23,0.05997499,0.1853739,1.133027,1.198435,1.200246,1.20197,1.204542,1.206568,1.205311,1.203604,1.200047,1.193426,0.5027173,0.06073016
12,v24,0.05997499,0.1853739,1.133027,1.198435,1.200246,1.20197,1.204542,1.206568,1.205311,1.203604,1.200047,1.193426,0.5027173,0.06073016
13,v25,0.01518068,0.01505802,0.01200127,0.01198499,0.01202032,0.01205701,0.01211165,0.0121553,0.01212841,0.01209159,0.01201666,0.01193075,0.01397892,0.01518306
14,v112,2.849642,5.764549,9.470675,9.569355,9.585205,9.601033,9.624854,9.643678,9.631997,9.616154,9.583402,9.541791,8.318769,2.875309
15,v113,1.424821,2.882275,4.735338,4.784678,4.792603,4.800516,4.812427,4.821839,4.815998,4.808077,4.791701,4.770895,4.159384,1.437655
16,v121,2.849642,5.764549,9.470675,9.569355,9.585205,9.601033,9.624854,9.643678,9.631997,9.616154,9.583402,9.541791,8.318769,2.875309
17,v122,1.424821,2.882275,4.735338,4.784678,4.792603,4.800516,4.812427,4.821839,4.815998,4.808077,4.791701,4.770895,4.159384,1.437655
18,v123,1.424821,2.882275,4.735338,4.784678,4.792603,4.800516,4.812427,4.821839,4.815998,4.808077,4.791701,4.770895,4.159384,1.437655
19,v124,1.424821,2.882274,4.735338,4.784678,4.792603,4.800516,4.812427,4.821839,4.815998,4.808077,4.791701,4.770896,4.159384,1.437654
20,v131,1.424821,2.882275,4.735338,4.784678,4.792603,4.800516,4.812427,4.821839,4.815998,4.808077,4.791701,4.770896,4.159384,1.437655
21,vlin,1.424821,2.882275,4.735338,4.784678,4.792603,4.800516,4.812427,4.821839,4.815998,4.808077,4.791701,4.770895,4.159384,1.437655
22,v2out,2.849642,5.764549,9.470675,9.569355,9.585205,9.601033,9.624854,9.643678,9.631997,9.616154,9.583402,9.541791,8.318769,2.875309
23,v51,1.025197,1.992767,2.434257,2.406079,2.410245,2.414492,2.420907,2.425982,2.422833,2.418563,2.409766,2.40069,2.632219,1.034079
24,v52,1.025197,1.992767,2.434257,2.406079,2.410245,2.414492,2.420907,2.425982,2.422833,2.418563,2.409766,2.40069,2.632219,1.03408
25,v55,0.5125984,0.9963831,1.217129,1.203039,1.205123,1.207246,1.210453,1.212991,1.211416,1.209281,1.204883,1.200345,1.316109,0.5170382
26,v56,0.5125984,0.9963833,1.217129,1.203039,1.205123,1.207246,1.210454,1.212991,1.211416,1.209281,1.204883,1.200345,1.316109,0.5170396
