,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15
0,vc,13.94864,24.17481,26.2802,26.43305,26.51773,26.52151,26.52342,26.51145,26.49559,26.49127,26.48658,26.44655,26.39365,26.21988,16.11684
1,vo,5.062007,8.773115,9.53717,9.592639,9.623371,9.62474,9.625434,9.62109,9.615335,9.613766,9.612066,9.597538,9.578342,9.51528,5.848853
2,v2,35.48384,61.49673,66.85646,67.24526,67.46066,67.47026,67.47513,67.44468,67.40434,67.39334,67.38143,67.2796,67.14505,66.70295,40.99885
3,v3,35.48384,61.49673,66.85646,67.24526,67.46066,67.47026,67.47513,67.44468,67.40434,67.39334,67.38143,67.2796,67.14505,66.70295,40.99885
4,v5,6.466874,11.61643,13.11208,13.18954,13.23141,13.23329,13.23423,13.22831,13.22046,13.21832,13.21601,13.19621,13.17006,13.07377,7.497739
5,v6,6.466874,11.61643,13.11208,13.18954,13.23141,13.23329,13.23423,13.22831,13.22046,13.21832,13.21601,13.19621,13.17006,13.07377,7.497739
6,v7,6.336883,10.98264,11.93912,12.00856,12.04703,12.04875,12.04962,12.04418,12.03697,12.03501,12.03288,12.0147,11.99066,11.91172,7.321897
7,v8,6.336883,10.98264,11.93912,12.00856,12.04703,12.04875,12.04962,12.04418,12.03697,12.03501,12.03288,12.0147,11.99066,11.91172,7.321897
8,v9,6.336883,10.98264,11.93912,12.00856,12.04703,12.04875,12.04962,12.04418,12.03697,12.03501,12.03288,12.0147,11.99066,11.91172,7.321897
9,v10,6.336883,10.98264,11.93912,12.00856,12.04703,12.04875,12.04962,12.04418,12.03697,12.03501,12.03288,12.0147,11.99066,11.91172,7.321897
10,v13,19.01065,32.94791,35.81737,36.02569,36.1411,36.14625,36.14885,36.13254,36.11092,36.10503,36.09865,36.04409,35.97199,35.73516,21.96569
11,v23,0.1451432,0.6472474,1.184915,1.193048,1.196519,1.196683,1.196761,1.196262,1.195605,1.195431,1.195239,1.1936,1.191437,1.17399,0.1908854
12,v24,0.1451432,0.6472479,1.184915,1.193048,1.196519,1.196683,1.196761,1.196262,1.195605,1.195431,1.195239,1.1936,1.191437,1.17399,0.1908854
13,v25,0.01515266,0.01345009,0.01195491,0.01207163,0.0121411,0.01214472,0.01214621,0.01213648,0.01212333,0.01211989,0.01211599,0.01208336,0.01203908,0.01194147,0.0150435
14,v112,5.062007,8.773115,9.53717,9.592639,9.623371,9.62474,9.625434,9.62109,9.615335,9.613766,9.612066,9.597538,9.578342,9.51528,5.848853
15,v113,2.531004,4.38656,4.768585,4.79632,4.811685,4.81237,4.812717,4.810545,4.807667,4.806883,4.806033,4.798769,4.789171,4.75764,2.924426
16,v121,5.062007,8.773115,9.53717,9.592639,9.623371,9.62474,9.625434,9.62109,9.615335,9.613766,9.612066,9.597538,9.578342,9.51528,5.848853
17,v122,2.531004,4.386559,4.768585,4.79632,4.811685,4.81237,4.812717,4.810545,4.807667,4.806883,4.806033,4.798769,4.789171,4.75764,2.924426
18,v123,2.531004,4.386559,4.768585,4.79632,4.811685,4.81237,4.812717,4.810545,4.807667,4.806883,4.806033,4.798769,4.789171,4.75764,2.924426
19,v124,2.531004,4.386556,4.768585,4.79632,4.811686,4.81237,4.812717,4.810545,4.807667,4.806883,4.806033,4.798769,4.789171,4.75764,2.924426
20,v131,2.531004,4.386558,4.768585,4.79632,4.811685,4.81237,4.812717,4.810545,4.807667,4.806883,4.806033,4.798769,4.789171,4.75764,2.924426
21,vlin,2.531004,4.386559,4.768585,4.79632,4.811685,4.81237,4.812717,4.810545,4.807667,4.806883,4.806033,4.798769,4.789171,4.75764,2.924426
22,v2out,5.062007,8.773115,9.53717,9.592639,9.623371,9.62474,9.625434,9.62109,9.615335,9.613766,9.612066,9.597538,9.578342,9.51528,5.848853
23,v51,1.76972,2.657979,2.407456,2.420246,2.428367,2.428721,2.428904,2.427764,2.426251,2.425833,2.425383,2.421543,2.416465,2.410124,2.018842
24,v52,1.76972,2.657979,2.407456,2.420246,2.428367,2.428721,2.428904,2.427764,2.426251,2.425833,2.425383,2.421543,2.416465,2.410124,2.018842
25,v55,0.88486,1.32899,1.203728,1.210123,1.214184,1.21436,1.214451,1.213882,1.213101,1.212916,1.212692,1.210772,1.208232,1.205063,1.009421
26,v56,0.88486,1.328989,1.203728,1.210123,1.214184,1.21436,1.214452,1.213882,1.213126,1.212916,1.212692,1.210772,1.208232,1.205062,1.009421
27,v57,0.88486,1.328989,1.203728,1.210123,1.214184,1.21436,1.214452,1.213882,1.213126,1.212916,1.212692,1.210772,1.208232,1.205062,1.009421
28,v58,0.06878274,0.06407129,0.06525087,0.06518806,0.06514834,0.06514661,0.0651457,0.0651513,0.06515857,0.06516072,0.06516292,0.06518171,0.06520661,0.06523779,0.06730381
29,v59,0.06878274,0.06407117,0.06525087,0.06518807,0.06514834,0.06514661,0.06514571,0.06515128,0.06515866,0.06516073,0.06516292,0.06518171,0.06520661,0.06523774,0.06730381
30,v60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,v62,0.88486,1.328989,1.203728,1.210123,1.214184,1.21436,1.214452,1.213882,1.213126,1.212916,1.212692,1.210772,1.208232,1.205062,1.009421
32,vdhap_in,20.85082,19.00198,19.49205,19.46667,19.45057,19.44987,19.44951,19.45177,19.45479,19.45559,19.45648,19.46409,19.47417,19.48675,20.29294
33,vgap_in,20.85082,19.00198,19.49205,19.46667,19.45057,19.44987,19.44951,19.45177,19.45479,19.45559,19.45648,19.46409,19.47417,19.48675,20.29294
34,vpga_in,20.85082,19.00198,19.49205,19.46667,19.45057,19.44987,19.44951,19.45177,19.45479,19.45559,19.45648,19.46409,19.47417,19.48675,20.29294
35,vpga_use,0.006458559,0.01255891,0.009706169,0.009798265,0.00985889,0.009861518,0.00986289,0.009854378,0.009777779,0.009839955,0.009836597,0.009807939,0.009770096,0.009739581,0.008103832
36,Vbf1,100.0466,174.8626,190.9586,191.5539,191.7948,191.7994,191.8039,191.7814,191.7405,191.7258,191.7117,191.5961,191.4206,190.6131,115.7732
37,Vbf2,100.0466,174.8626,190.9586,191.5539,191.7949,191.7994,191.8039,191.7814,191.7405,191.7254,191.7117,191.5961,191.4206,190.6131,115.7732
38,Vbf3,100.0466,174.8626,190.9586,191.5539,191.7949,191.7994,191.8039,191.7814,191.7405,191.7254,191.7117,191.5961,191.4206,190.6131,115.7732
39,Vbf4,100.0466,174.8626,190.9586,191.5539,191.7949,191.7994,191.8039,191.7814,191.7405,191.7254,191.7117,191.5961,191.4206,190.6131,115.7732
40,Vbf5,38.12384,66.06274,71.90346,72.38227,72.65771,72.66626,72.6731,72.6317,72.5853,72.5704,72.55543,72.4256,72.25305,71.72095,44.04585
41,Vbf6,61.9228,108.7999,119.0551,119.1716,119.1371,119.1331,119.1308,119.1497,119.1552,119.1551,119.1562,119.1705,119.1675,118.8922,71.72732
42,Vbf7,61.9228,108.7999,119.0551,119.172,119.1369,119.1331,119.1309,119.1494,119.155,119.1587,119.1562,119.1705,119.1675,118.8922,71.72732
43,Vbf8,100.0466,174.8626,190.9586,191.5539,191.7949,191.7994,191.8039,191.7814,191.7405,191.7254,191.7117,191.5961,191.4206,190.6131,115.7732
44,Vbf9,100.0466,174.8627,190.9586,191.5539,191.7949,191.7994,191.8039,191.7814,191.7405,191.7255,191.7116,191.5961,191.4206,190.6131,115.7732
45,Vbf10,100.0466,174.8632,190.9586,191.554,191.7948,191.7994,191.8027,191.7814,191.7404,191.7253,191.7116,191.5961,191.4206,190.6129,115.7732
46,Vbf11,59.30063,103.4014,112.8163,113.2773,113.499,113.5046,113.5095,113.482,113.4445,113.4317,113.4193,113.3141,113.1647,112.5897,68.59186
47,Vqi,123.8456,217.5997,238.1103,238.3432,238.2742,238.2662,238.2617,238.2994,238.3103,238.3101,238.3125,238.3411,238.3351,237.7843,143.4546
48,Vipc,12030.05,21085.44,23044.95,23139.62,23191.95,23191.3,23192.82,23185.1,23176.18,23172.69,23169.93,23145.49,23117.25,23000.87,13926.79
49,Vicp,12027.41,21080.22,23036.6,23127.76,23177.61,23176.83,23178.29,23171.02,23162.54,23159.18,23156.54,23133.27,23106.45,22993.31,13923.7
50,Vinc,50.23447,99.29011,159.2788,226.5561,274.3357,276.6207,277.8268,269.3227,260.8186,258.2996,255.7806,233.4051,206.0654,144.053,58.92539
51,Vinp,55.52231,109.7417,176.0449,250.4041,303.2131,305.7387,307.0717,297.6724,288.2732,285.489,282.7049,257.974,227.7565,159.2165,65.12806
52,Vdp,45.30526,91.245,153.1739,223.9633,274.2529,276.66,277.9294,268.9771,260.0258,257.3748,254.7235,231.1728,202.3978,137.1691,53.25973
