,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15
0,vc,17.67105,29.71213,33.1684,33.32819,33.39287,33.41974,33.43948,33.43755,33.4366,33.42573,33.4259,33.37014,33.30786,32.79526,20.09868
1,vo,4.321724,7.266553,8.111838,8.150915,8.166735,8.173305,8.178133,8.177663,8.177429,8.174771,8.174812,8.161175,8.145945,8.02058,4.915437
2,v2,41.81283,70.30242,78.4904,78.86881,79.02185,79.0854,79.13211,79.12756,79.1253,79.09959,79.09998,78.96806,78.82072,77.60565,47.55598
3,v3,41.81283,70.30241,78.4904,78.86881,79.02185,79.0854,79.13211,79.12756,79.1253,79.09959,79.09998,78.96806,78.82072,77.60565,47.55598
4,v5,7.5047,13.19867,15.66603,15.77431,15.80383,15.816,15.82494,15.82406,15.82363,15.81871,15.8188,15.79352,15.76468,15.32303,8.569572
5,v6,7.5047,13.19867,15.66603,15.77431,15.80383,15.816,15.82494,15.82406,15.82363,15.81871,15.8188,15.79352,15.76468,15.32303,8.569572
6,v7,7.330893,12.32623,13.76008,13.82637,13.8532,13.86435,13.87254,13.87174,13.87134,13.86683,13.8669,13.84377,13.81794,13.60528,8.338041
7,v8,7.330886,12.32623,13.76008,13.82637,13.8532,13.86435,13.87254,13.87174,13.87134,13.86683,13.8669,13.84377,13.81794,13.60528,8.33804
8,v9,7.331769,12.32623,13.76008,13.82637,13.8532,13.86435,13.87254,13.87174,13.87134,13.86683,13.8669,13.84377,13.81794,13.60528,8.338039
9,v10,7.330906,12.32623,13.76008,13.82637,13.8532,13.86435,13.87254,13.87174,13.87134,13.86683,13.8669,13.84377,13.81794,13.60528,8.338039
10,v13,21.99278,36.97868,41.28024,41.4791,41.55961,41.59304,41.61761,41.61522,41.61403,41.6005,41.60071,41.53131,41.45381,40.81584,25.01412
11,v23,0.1881148,0.8863672,1.920048,1.962162,1.96492,1.965973,1.966735,1.96666,1.966624,1.966201,1.966217,1.964015,1.960943,1.731749,0.245839
12,v24,0.1881177,0.8863674,1.920048,1.962162,1.96492,1.965973,1.966735,1.96666,1.966624,1.966201,1.966217,1.964015,1.960943,1.731747,0.2458391
13,v25,0.01436722,0.01392396,0.01410293,0.0142221,0.01428848,0.01431571,0.01433691,0.0143351,0.01433382,0.01432278,0.01432143,0.01426524,0.01420171,0.01399762,0.01431888
14,v112,4.321725,7.266553,8.111838,8.150915,8.166735,8.173305,8.178133,8.177663,8.177429,8.174771,8.174812,8.161175,8.145945,8.02058,4.915437
15,v113,2.160862,3.633276,4.055919,4.075458,4.083368,4.086652,4.089067,4.088831,4.088715,4.087386,4.087406,4.080587,4.072972,4.010291,2.457714
16,v121,4.321724,7.266553,8.111838,8.150915,8.166735,8.173305,8.178133,8.177663,8.177429,8.174771,8.174812,8.161175,8.145945,8.02058,4.915437
17,v122,2.160863,3.633276,4.055919,4.075458,4.083368,4.086652,4.089067,4.088831,4.088715,4.087386,4.087406,4.080587,4.072972,4.010291,2.457714
18,v123,2.160862,3.633276,4.055919,4.075458,4.083368,4.086652,4.089067,4.088831,4.088715,4.087386,4.087406,4.080587,4.072972,4.010291,2.457714
19,v124,2.160862,3.633277,4.055919,4.075458,4.083368,4.086652,4.089067,4.088831,4.088715,4.087386,4.087406,4.080587,4.072972,4.01029,2.457723
20,v131,2.160862,3.633277,4.055919,4.075458,4.083368,4.086652,4.089067,4.088831,4.088715,4.087386,4.087406,4.080587,4.072972,4.01029,2.457718
