,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15
0,vc,17.40365,29.26465,33.10315,33.28008,33.3503,33.37789,33.39838,33.39664,33.39499,33.38457,33.37323,33.32899,24.00675,32.65412,19.76378
1,vo,4.256327,7.157116,8.095879,8.139151,8.156322,8.163072,8.168083,8.167657,8.167253,8.164705,8.161931,8.151111,5.871217,7.986061,4.833532
2,v2,41.18022,69.24314,78.33564,78.75475,78.92088,78.98616,79.03464,79.03053,79.02661,79.00196,78.97512,78.87045,56.80194,77.271,46.7637
3,v3,41.18022,69.24314,78.33564,78.75475,78.92089,78.98616,79.03464,79.03053,79.02662,79.00196,78.97512,78.87045,56.80305,77.271,46.7637
4,v5,7.388292,12.94628,15.60177,15.72843,15.76133,15.77419,15.78376,15.78295,15.78216,15.77728,15.77199,15.75136,10.32986,15.19746,8.421657
5,v6,7.388292,12.94628,15.60177,15.72843,15.76133,15.77419,15.78376,15.78295,15.78216,15.77728,15.77199,15.75136,10.33049,15.19746,8.421658
6,v7,7.219991,12.14059,13.73301,13.80641,13.83554,13.84699,13.85549,13.85477,13.85408,13.84976,13.84505,13.8267,9.959637,13.54673,8.199102
7,v8,7.219991,12.14059,13.73301,13.80641,13.83556,13.84699,13.85549,13.85477,13.85408,13.84976,13.84505,13.8267,9.959142,13.54673,8.199102
8,v9,7.219991,12.14059,13.73301,13.80641,13.83729,13.84699,13.85549,13.85477,13.85408,13.84976,13.84505,13.8267,9.958587,13.54673,8.199105
9,v10,7.219991,12.14059,13.73301,13.80641,13.83553,13.84699,13.85549,13.85477,13.85408,13.84976,13.84505,13.8267,9.959146,13.54673,8.199103
10,v13,21.65997,36.42177,41.19903,41.41924,41.50665,41.54097,41.56646,41.5643,41.56224,41.54927,41.53516,41.4801,29.87624,40.64018,24.59731
11,v23,0.182672,0.8196278,1.882844,1.936221,1.94005,1.9415,1.942592,1.942497,1.942399,1.941834,1.941235,1.938912,0.387054,1.664708,0.2368835
12,v24,0.182672,0.8196278,1.882844,1.936221,1.940049,1.9415,1.942592,1.942497,1.9424,1.941834,1.941235,1.938914,0.3874535,1.664708,0.2368836
13,v25,0.01437097,0.01394224,0.01408432,0.0142,0.01427359,0.01430129,0.01432208,0.01431908,0.01431907,0.01430814,0.01429623,0.01425284,0.01417809,0.01397715,0.01432715
14,v112,4.256327,7.157116,8.095879,8.139151,8.156323,8.163072,8.168083,8.167657,8.167254,8.164705,8.161931,8.151112,5.8713,7.986061,4.833532
15,v113,2.128163,3.578557,4.04794,4.069576,4.078162,4.081536,4.084041,4.083829,4.083626,4.082352,4.080965,4.075556,2.936491,3.993031,2.416767
16,v121,4.256327,7.157116,8.095879,8.139151,8.156323,8.163072,8.168083,8.167657,8.167253,8.164705,8.161931,8.151111,5.871239,7.986061,4.833532
17,v122,2.128163,3.578557,4.04794,4.069576,4.078162,4.081536,4.084041,4.083829,4.083626,4.082352,4.080965,4.075556,2.936448,3.993031,2.416767
18,v123,2.128163,3.578557,4.04794,4.069576,4.078162,4.081536,4.084041,4.083829,4.083626,4.082352,4.080965,4.075556,2.936453,3.993031,2.416767
